Designer,Buyer 1,Buyer 2,Buyer 3
1. Coco Chanel,99. Anne-Sophie Mallard (Printemps),88. Sophie Waintraub (Le Bon Marché),81. Anne-Sophie Mallard (Printemps)
2. Christian Dior,21. Carla Sozzani (10 Corso Como),83. Anne-Sophie Mallard (Printemps),17. Julia Toledano (LVMH)
3. Yves Saint Laurent,55. Eric Jennings (formerly Saks Fifth Avenue),65. Anne-Sophie Mallard (Printemps),40. Anita Barr (Harvey Nichols)
4. Giorgio Armani,54. Tracy Margolies (Saks Fifth Avenue),"38. Lisa Armstrong (The Telegraph, formerly buying at Harvey Nichols)",80. Sophie Waintraub (Le Bon Marché)
5. Karl Lagerfeld,60. Delphine Bellini (Le Bon Marché),57. Jennifer Sunwoo (Barneys New York),87. Anne-Sophie Mallard (Printemps)
6. Donatella Versace,34. Sebastian Manes (Selfridges),35. Eleanor Robinson (Selfridges),51. Kevin Harter (Bloomingdale’s)
7. Gianni Versace,19. Sophie Hersan (Vestiaire Collective),28. Ken Downing (formerly Neiman Marcus),55. Eric Jennings (formerly Saks Fifth Avenue)
8. Miuccia Prada,"37. Beth Butterwick (Karen Millen, formerly Bonmarché)",97. Anne-Sophie Mallard (Printemps),75. Anne-Sophie Mallard (Printemps)
9. Raf Simons,"2. Lisa Aiken (Neiman Marcus, formerly Moda Operandi)","48. Yoon Ahn (Ambush, Japan)",70. Sophie Waintraub (Le Bon Marché)
10. Alexander McQueen,18. Michael Kliger (Mytheresa),7. Ida Petersson (Browns),"15. Mario Ortelli (Ortelli & Co., formerly Selfridges)"
11. Vivienne Westwood,82. Sophie Waintraub (Le Bon Marché),1. Sarah Rutson (formerly Lane Crawford),24. Barbara Boccara (ba&sh)
12. Jean-Paul Gaultier,65. Anne-Sophie Mallard (Printemps),51. Kevin Harter (Bloomingdale’s),50. Michael Russo (Bloomingdale’s)
13. Tom Ford,39. Averyl Oates (Harvey Nichols),76. Sophie Waintraub (Le Bon Marché),19. Sophie Hersan (Vestiaire Collective)
14. Marc Jacobs,97. Anne-Sophie Mallard (Printemps),20. Anne Pitcher (Selfridges Group),82. Sophie Waintraub (Le Bon Marché)
15. Rei Kawakubo,81. Anne-Sophie Mallard (Printemps),59. Anne-Sophie Johanet (Galeries Lafayette),65. Anne-Sophie Mallard (Printemps)
16. Issey Miyake,56. Colleen Sherin (Saks Fifth Avenue),40. Anita Barr (Harvey Nichols),50. Michael Russo (Bloomingdale’s)
17. Yohji Yamamoto,"43. Hirofumi Kurino (United Arrows, Japan)",32. Maria Milano (Harrods),5. Roopal Patel (Saks Fifth Avenue)
18. Phoebe Philo,"22. Julie Gilhart (Tomorrow Ltd, formerly Barneys New York)",76. Sophie Waintraub (Le Bon Marché),80. Sophie Waintraub (Le Bon Marché)
19. Stella McCartney,73. Anne-Sophie Mallard (Printemps),56. Colleen Sherin (Saks Fifth Avenue),"22. Julie Gilhart (Tomorrow Ltd, formerly Barneys New York)"
20. John Galliano,62. Sophie Fontanel (Le Bon Marché),86. Sophie Waintraub (Le Bon Marché),20. Anne Pitcher (Selfridges Group)
21. Hubert de Givenchy,"45. Yasuhiro Mihara (Isetan, Japan)","48. Yoon Ahn (Ambush, Japan)",34. Sebastian Manes (Selfridges)
22. Pierre Balmain,42. Tomoko Yamaguchi (Isetan Mitsukoshi),26. Laure Hériard Dubreuil (The Webster),76. Sophie Waintraub (Le Bon Marché)
23. Cristóbal Balenciaga,"2. Lisa Aiken (Neiman Marcus, formerly Moda Operandi)",63. Anne Laure Couplet (Galeries Lafayette),"9. Elizabeth von der Goltz (MatchesFashion, formerly Net-a-Porter)"
24. Elsa Schiaparelli,"8. Holli Rogers (Farfetch, formerly Browns)",27. Linda Fargo (Bergdorf Goodman),69. Anne-Sophie Mallard (Printemps)
25. Oscar de la Renta,80. Sophie Waintraub (Le Bon Marché),57. Jennifer Sunwoo (Barneys New York),21. Carla Sozzani (10 Corso Como)
26. Carolina Herrera,20. Anne Pitcher (Selfridges Group),57. Jennifer Sunwoo (Barneys New York),74. Sophie Waintraub (Le Bon Marché)
27. Vera Wang,74. Sophie Waintraub (Le Bon Marché),"6. Bruce Pask (Neiman Marcus, formerly Bergdorf Goodman)",75. Anne-Sophie Mallard (Printemps)
28. Diane von Fürstenberg,61. Pascale Camart (Le Bon Marché),"9. Elizabeth von der Goltz (MatchesFashion, formerly Net-a-Porter)","6. Bruce Pask (Neiman Marcus, formerly Bergdorf Goodman)"
29. Michael Kors,77. Anne-Sophie Mallard (Printemps),76. Sophie Waintraub (Le Bon Marché),1. Sarah Rutson (formerly Lane Crawford)
30. Donna Karan,90. Sophie Waintraub (Le Bon Marché),63. Anne Laure Couplet (Galeries Lafayette),36. Anne-Marie Curtis (formerly Liberty London)
31. Calvin Klein,76. Sophie Waintraub (Le Bon Marché),81. Anne-Sophie Mallard (Printemps),84. Sophie Waintraub (Le Bon Marché)
32. Ralph Lauren,73. Anne-Sophie Mallard (Printemps),"25. Sarah Andelman (Colette, Paris)",89. Anne-Sophie Mallard (Printemps)
33. Tory Burch,92. Sophie Waintraub (Le Bon Marché),51. Kevin Harter (Bloomingdale’s),55. Eric Jennings (formerly Saks Fifth Avenue)
34. Zac Posen,30. Simon Longland (Harrods),52. Marigay McKee (formerly Harrods),1. Sarah Rutson (formerly Lane Crawford)
35. Jason Wu,11. Federica Montelli (La Rinascente),82. Sophie Waintraub (Le Bon Marché),95. Anne-Sophie Mallard (Printemps)
36. Prabal Gurung,31. Helen David (Harrods),97. Anne-Sophie Mallard (Printemps),36. Anne-Marie Curtis (formerly Liberty London)
37. Riccardo Tisci,"46. Yuki Matsuda (Beams, Japan)",11. Federica Montelli (La Rinascente),51. Kevin Harter (Bloomingdale’s)
38. Hedi Slimane,20. Anne Pitcher (Selfridges Group),33. Jo Osborne (Selfridges),86. Sophie Waintraub (Le Bon Marché)
39. Clare Waight Keller,"47. Tomoko Inuzuka (Beams, Japan)",30. Simon Longland (Harrods),34. Sebastian Manes (Selfridges)
40. Demna Gvasalia,81. Anne-Sophie Mallard (Printemps),69. Anne-Sophie Mallard (Printemps),75. Anne-Sophie Mallard (Printemps)
41. Pierpaolo Piccioli,74. Sophie Waintraub (Le Bon Marché),98. Sophie Waintraub (Le Bon Marché),78. Sophie Waintraub (Le Bon Marché)
42. Maria Grazia Chiuri,"25. Sarah Andelman (Colette, Paris)","44. Motofumi Kogi (United Arrows & Sons, Japan)","2. Lisa Aiken (Neiman Marcus, formerly Moda Operandi)"
43. Nicolas Ghesquière,24. Barbara Boccara (ba&sh),23. Tomoko Ogura (Barneys New York),70. Sophie Waintraub (Le Bon Marché)
